Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland Central,,,Percent,ZW_MC,16.1
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland Central,,,Percent,ZW_MC,15.6
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland Central,,,Percent,ZW_MC,16.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masholanad East,,,Percent,ZW_ME,40.3
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masholanad East,,,Percent,ZW_ME,21.7
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masholanad East,,,Percent,ZW_ME,25.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Midlands,,,Percent,ZW_MI,32.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Midlands,,,Percent,ZW_MI,25.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Midlands,,,Percent,ZW_MI,32.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland North,,,Percent,ZW_MN,7.5
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland North,,,Percent,ZW_MN,22.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland North,,,Percent,ZW_MN,21.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland South,,,Percent,ZW_MS,36.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland South,,,Percent,ZW_MS,34.4
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Matabeland South,,,Percent,ZW_MS,35.0
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masvingo,,,Percent,ZW_MV,17.9
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masvingo,,,Percent,ZW_MV,20.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Masvingo,,,Percent,ZW_MV,43.0
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland West,,,Percent,ZW_MW,21.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland West,,,Percent,ZW_MW,22.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],Mashonaland West,,,Percent,ZW_MW,31.8
