Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Harare,,Percent,ZW_HA,21.5
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Manicaland,,Percent,ZW_MA,18.1
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Manicaland,,Percent,ZW_MA,50.54971265075429
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Manicaland,,Percent,ZW_MA,7.2
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland Central,,Percent,ZW_MC,11.3
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland Central,,Percent,ZW_MC,51.37132481069131
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland Central,,Percent,ZW_MC,5.6
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masholanad East,,Percent,ZW_ME,19.7
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masholanad East,,Percent,ZW_ME,56.75936229219795
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masholanad East,,Percent,ZW_ME,16.9
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Midlands,,Percent,ZW_MI,31.2
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Midlands,,Percent,ZW_MI,58.30603044542835
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Midlands,,Percent,ZW_MI,4.5
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland North,,Percent,ZW_MN,10.1
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland North,,Percent,ZW_MN,42.421770056245066
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland North,,Percent,ZW_MN,2.5
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland South,,Percent,ZW_MS,20.0
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland South,,Percent,ZW_MS,45.84930713496731
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Matabeland South,,Percent,ZW_MS,0.9
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masvingo,,Percent,ZW_MV,16.4
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masvingo,,Percent,ZW_MV,57.15525364300525
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Masvingo,,Percent,ZW_MV,6.3
2019,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland West,,Percent,ZW_MW,23.9
2022,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland West,,Percent,ZW_MW,60.45453822724261
2024,Normal value,Units,Zimstat_ZDHS_2024,Proportion of population with primary reliance on clean fuels and technology [7.1.2],Mashonaland West,,Percent,ZW_MW,10.2
