Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2024,Normal value,Units,ZDHS 2023-24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Harare,24 to 35 months,,Percent,ZW_HA,78.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Harare,24 to 35 months,Urban,Percent,ZW_HA,78.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Manicaland,24 to 35 months,,Percent,ZW_MA,55.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Mashonaland Central,24 to 35 months,,Percent,ZW_MC,68.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Masholanad East,24 to 35 months,,Percent,ZW_ME,72.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Midlands,24 to 35 months,,Percent,ZW_MI,74.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Matabeland North,24 to 35 months,,Percent,ZW_MN,85.2
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Matabeland South,24 to 35 months,,Percent,ZW_MS,66.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Masvingo,24 to 35 months,,Percent,ZW_MV,65.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],Mashonaland West,24 to 35 months,,Percent,ZW_MW,66.3
2019,Normal value,Units,Zimstat_MICS_2019,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,,,Percent,,90.6
2019,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,12 to 23 months,,Percent,,90.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,12 to 23 months,,Percent,,80.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,12 to 23 months,Rural,Percent,,80.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],,12 to 23 months,Urban,Percent,,80.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Bulawayo,12 to 23 months,,Percent,ZW_BA,86.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Harare,12 to 23 months,,Percent,ZW_HA,82.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Manicaland,12 to 23 months,,Percent,ZW_MA,73.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Mashonaland Central,12 to 23 months,,Percent,ZW_MC,79.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Masholanad East,12 to 23 months,,Percent,ZW_ME,79.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Midlands,12 to 23 months,,Percent,ZW_MI,87.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Matabeland North,12 to 23 months,,Percent,ZW_MN,89.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Matabeland South,12 to 23 months,,Percent,ZW_MS,85.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Masvingo,12 to 23 months,,Percent,ZW_MV,85.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine [3.b.1],Mashonaland West,12 to 23 months,,Percent,ZW_MW,71.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,24 to 35 months,,Percent,,54.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Bulawayo,24 to 35 months,,Percent,ZW_BA,77.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Harare,24 to 35 months,,Percent,ZW_HA,92.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Manicaland,24 to 35 months,,Percent,ZW_MA,38.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Mashonaland Central,24 to 35 months,,Percent,ZW_MC,37.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Masholanad East,24 to 35 months,,Percent,ZW_ME,43.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Midlands,24 to 35 months,,Percent,ZW_MI,58.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Matabeland North,24 to 35 months,,Percent,ZW_MN,65.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Matabeland South,24 to 35 months,,Percent,ZW_MS,60.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Masvingo,24 to 35 months,,Percent,ZW_MV,49.0
2024,Normal value,Units,DHIS2_2024,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Mashonaland West,24 to 35 months,,Percent,ZW_MW,44.0
