Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,,Y15T24,PT,ZW_MI,50.6
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,F,Y15T24,PT,ZW_MI,51.42363981576533
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,F,Y15T24,PT,ZW_MI,59.7
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,M,Y15T24,PT,ZW_MI,42.27888636438474
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,M,Y15T24,PT,ZW_MI,41.4
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,,Y15T24,PT,ZW_MN,57.92165070469112
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,,Y15T24,PT,ZW_MN,53.7
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,F,Y15T24,PT,ZW_MN,63.98608221156582
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,F,Y15T24,PT,ZW_MN,60.7
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,M,Y15T24,PT,ZW_MN,53.089171078117616
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,M,Y15T24,PT,ZW_MN,46.8
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,,Y15T24,PT,ZW_MS,52.13311120095665
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,,Y15T24,PT,ZW_MS,54.7
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,F,Y15T24,PT,ZW_MS,59.487885725705205
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,F,Y15T24,PT,ZW_MS,66.2
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,M,Y15T24,PT,ZW_MS,43.33612590649674
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,M,Y15T24,PT,ZW_MS,44.1
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,,Y15T24,PT,ZW_MV,44.83690054101584
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,,Y15T24,PT,ZW_MV,44.83690054101584
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,F,Y15T24,PT,ZW_MV,51.49580059565197
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,F,Y15T24,PT,ZW_MV,52.9
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,M,Y15T24,PT,ZW_MV,38.49332781342717
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,M,Y15T24,PT,ZW_MV,36.0
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,,Y15T24,PT,ZW_MW,49.479182367932
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,,Y15T24,PT,ZW_MW,50.1
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,F,Y15T24,PT,ZW_MW,57.33022904133568
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,F,Y15T24,PT,ZW_MW,57.2
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,M,Y15T24,PT,ZW_MW,42.50605296944796
2024,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,M,Y15T24,PT,ZW_MW,43.6
